epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,419.637,0.56793,0.45766,0.93937,0.83446,0.68569,0.77635,0.57212,0.9876,0.91038,1.19499,0.000742625,0.000742625,0.000742625
43,428.688,0.57351,0.44941,0.935,0.77136,0.75636,0.78117,0.57154,1.03829,0.87273,1.2558,0.00073025,0.00073025,0.00073025
44,436.912,0.54115,0.41766,0.92466,0.81474,0.68567,0.77261,0.56578,1.01505,0.87358,1.25414,0.000717875,0.000717875,0.000717875
45,445.467,0.56301,0.46291,0.93525,0.80594,0.68981,0.78634,0.57671,0.96039,0.86449,1.17106,0.0007055,0.0007055,0.0007055
46,454.412,0.52423,0.41281,0.91133,0.87746,0.70817,0.81925,0.60176,0.94828,0.99149,1.16189,0.000693125,0.000693125,0.000693125
47,462.793,0.51901,0.40515,0.9073,0.83458,0.72583,0.8195,0.58967,0.9629,0.97506,1.20324,0.00068075,0.00068075,0.00068075
48,471.791,0.52779,0.41124,0.90979,0.7594,0.78233,0.80465,0.58259,0.95554,0.92166,1.20082,0.000668375,0.000668375,0.000668375
49,480.976,0.54539,0.42939,0.91634,0.7999,0.74583,0.80515,0.59683,0.92542,0.90593,1.1717,0.000656,0.000656,0.000656
50,489.342,0.54696,0.42632,0.92517,0.71346,0.77581,0.80396,0.59088,0.93409,0.89683,1.18299,0.000643625,0.000643625,0.000643625
51,498.195,0.53442,0.41169,0.93014,0.82593,0.74106,0.80931,0.59242,0.93956,0.91082,1.17296,0.00063125,0.00063125,0.00063125
52,507.283,0.51303,0.39815,0.92236,0.80108,0.76691,0.81859,0.5918,1.00961,0.94746,1.24097,0.000618875,0.000618875,0.000618875
53,515.419,0.48736,0.38607,0.90473,0.79601,0.73561,0.81347,0.59778,0.96656,0.97141,1.20684,0.0006065,0.0006065,0.0006065
54,524.315,0.51081,0.39858,0.90874,0.86366,0.67966,0.80235,0.59857,0.99678,0.97996,1.20274,0.000594125,0.000594125,0.000594125
55,533.373,0.55447,0.41454,0.92766,0.84035,0.70799,0.79475,0.59614,0.96195,0.96663,1.20531,0.00058175,0.00058175,0.00058175
56,541.715,0.51949,0.40025,0.93391,0.84242,0.70687,0.79894,0.59642,0.97008,1.00403,1.20517,0.000569375,0.000569375,0.000569375
57,550.892,0.50608,0.38404,0.91466,0.85391,0.71384,0.80383,0.60007,0.91575,0.93321,1.17123,0.000557,0.000557,0.000557
58,559.834,0.50245,0.38834,0.91432,0.73817,0.75121,0.7838,0.57698,0.96414,0.92384,1.2187,0.000544625,0.000544625,0.000544625
59,568.1,0.50549,0.39539,0.9087,0.79448,0.68181,0.78187,0.57971,0.93945,0.94933,1.1988,0.00053225,0.00053225,0.00053225
60,576.997,0.48609,0.38651,0.91681,0.81219,0.74137,0.81269,0.5843,0.95497,0.94919,1.19879,0.000519875,0.000519875,0.000519875
